annealing_time,query_graph_type,num_relations,sample_index,valid_solution_ratio,optimal_solution_ratio
20,CYCLE,4,15,0.02,0.002
20,CYCLE,4,16,0.026,0.0
20,CYCLE,4,17,0.029,0.003
20,CYCLE,4,18,0.031,0.002
20,CYCLE,4,19,0.033,0.006
20,CYCLE,5,0,0.0,0.0
20,CYCLE,5,1,0.001,0.0
20,CYCLE,5,2,0.001,0.0
20,CYCLE,5,3,0.0,0.0
20,CYCLE,5,4,0.0,0.0
20,CYCLE,5,5,0.0,0.0
20,CYCLE,5,6,0.0,0.0
20,CYCLE,5,7,0.0,0.0
20,CYCLE,5,8,0.0,0.0
20,CYCLE,5,9,0.0,0.0
20,CYCLE,5,10,0.0,0.0
20,CYCLE,5,11,0.0,0.0
20,CYCLE,5,12,0.0,0.0
20,CYCLE,5,13,0.0,0.0
20,CYCLE,5,14,0.0,0.0
20,CYCLE,5,15,0.001,0.0
20,CYCLE,5,16,0.001,0.0
20,CYCLE,5,17,0.0,0.0
20,CYCLE,5,18,0.0,0.0
20,CYCLE,5,19,0.0,0.0
60,CYCLE,3,0,0.265,0.075
60,CYCLE,3,1,0.266,0.095
60,CYCLE,3,2,0.246,0.09
60,CYCLE,3,3,0.302,0.101
60,CYCLE,3,4,0.265,0.109
60,CYCLE,3,5,0.304,0.127
60,CYCLE,3,6,0.272,0.125
60,CYCLE,3,7,0.261,0.119
60,CYCLE,3,8,0.293,0.098
60,CYCLE,3,9,0.283,0.1
60,CYCLE,3,10,0.255,0.081
60,CYCLE,3,11,0.27,0.09
60,CYCLE,3,12,0.272,0.107
60,CYCLE,3,13,0.3,0.128
60,CYCLE,3,14,0.289,0.067
60,CYCLE,3,15,0.274,0.114
60,CYCLE,3,16,0.277,0.14
60,CYCLE,3,17,0.289,0.119
60,CYCLE,3,18,0.244,0.099
60,CYCLE,3,19,0.258,0.067
60,CYCLE,4,0,0.031,0.002
60,CYCLE,4,1,0.035,0.002
60,CYCLE,4,2,0.031,0.003
60,CYCLE,4,3,0.033,0.003
60,CYCLE,4,4,0.024,0.003
60,CYCLE,4,5,0.03,0.0
60,CYCLE,4,6,0.031,0.007
60,CYCLE,4,7,0.032,0.001
60,CYCLE,4,8,0.031,0.005
60,CYCLE,4,9,0.032,0.004
60,CYCLE,4,10,0.021,0.003
60,CYCLE,4,11,0.026,0.003
60,CYCLE,4,12,0.032,0.005
60,CYCLE,4,13,0.018,0.001
60,CYCLE,4,14,0.021,0.001
60,CYCLE,4,15,0.026,0.003
60,CYCLE,4,16,0.028,0.003
60,CYCLE,4,17,0.024,0.002
60,CYCLE,4,18,0.03,0.003
60,CYCLE,4,19,0.036,0.003
60,CYCLE,5,0,0.001,0.0
60,CYCLE,5,1,0.0,0.0
60,CYCLE,5,2,0.0,0.0
60,CYCLE,5,3,0.001,0.0
