num_relations,num_threshold_values,num_decimal_pos,query_graph_type,sample_index,num_phys_qubits
8,2,0,STAR,17,917
8,2,0,STAR,18,880
8,2,0,STAR,19,847
8,2,0,CYCLE,0,1093
8,2,0,CYCLE,1,1023
8,2,0,CYCLE,2,951
8,2,0,CYCLE,3,907
8,2,0,CYCLE,4,941
8,2,0,CYCLE,5,916
8,2,0,CYCLE,6,967
8,2,0,CYCLE,7,864
8,2,0,CYCLE,8,989
8,2,0,CYCLE,9,839
8,2,0,CYCLE,10,849
8,2,0,CYCLE,11,971
8,2,0,CYCLE,12,991
8,2,0,CYCLE,13,959
8,2,0,CYCLE,14,881
8,2,0,CYCLE,15,894
8,2,0,CYCLE,16,924
8,2,0,CYCLE,17,999
8,2,0,CYCLE,18,881
8,2,0,CYCLE,19,858
8,2,2,CHAIN,0,1658
8,2,2,CHAIN,1,1662
8,2,2,CHAIN,2,1677
8,2,2,CHAIN,3,1617
8,2,2,CHAIN,4,1645
8,2,2,CHAIN,5,1636
8,2,2,CHAIN,6,1599
8,2,2,CHAIN,7,1707
8,2,2,CHAIN,8,1709
8,2,2,CHAIN,9,1724
8,2,2,CHAIN,10,1647
8,2,2,CHAIN,11,1743
8,2,2,CHAIN,12,1707
8,2,2,CHAIN,13,1621
8,2,2,CHAIN,14,1681
8,2,2,CHAIN,15,1613
8,2,2,CHAIN,16,1563
8,2,2,CHAIN,17,1520
8,2,2,CHAIN,18,1758
8,2,2,CHAIN,19,1654
8,2,2,STAR,0,1605
8,2,2,STAR,1,1836
8,2,2,STAR,2,1766
8,2,2,STAR,3,1839
8,2,2,STAR,4,1559
8,2,2,STAR,5,1732
8,2,2,STAR,6,1699
8,2,2,STAR,7,1594
8,2,2,STAR,8,1791
8,2,2,STAR,9,1684
8,2,2,STAR,10,1658
8,2,2,STAR,11,1672
8,2,2,STAR,12,1713
8,2,2,STAR,13,1638
8,2,2,STAR,14,1833
8,2,2,STAR,15,1706
8,2,2,STAR,16,1865
8,2,2,STAR,17,1711
